Store Name,Street Address,Latitude,Longitude
Jongro Pyeongchang,"310-1  Pyeongchang-Dong, Jjongro-Gu, Twintree Tower",37.61,126.97
Gyeongbokgung Intersection,"14, Junghak-Dong, Jongno-Gu, 1F, Sungshin Womens University",37.58,126.98
Sungshin Womens University,"92-1, Dongsun-dong1ga, Sungbukgu",37.59,127.02
Wangsimni Station,"58-6, Doseon-dong, Seongdong-gu, Seoul",37.56,127.03
Artreon Shinchon,20-25 Changcheon-dong Seodaemun-gu,37.56,126.94
Yeondae,"33-9, Changcheon-Dong, Seodaemun-Gu",37.56,126.94
Mia station,"121-19, Miadong, Kangbukgu",37.63,127.03
Shinchon Ogeori,"54-1 Nogosan-dong, Mapo-gu",37.56,126.93
Sangbong,"79 Sangbong-dong, Jungrang-gu",37.6,127.09
COEX intersection,"91-31, Samseong-dong, Gangnam-gu",37.52,127.06
Myungdong post office,Sogongro,37.56,126.98
Sangam MBC,"1603, Sangam-dong, Mapo-gu, Mookdong E-Mart",37.58,126.89
Mookdong E-Mart,"170-1, Mook-Dong, Junglang-Gu, B1, Lotte Castle Pinehill",37.61,127.08
Garak Market Station,"79 Garak-Dong, Songpa-Gu, 1F",37.49,127.12
Mokdong 7 Apt Complex,"923, Mok-dong, Yangcheon-gu",37.53,126.87
Jamsil,"11-4, Sincheon-dong,Songpa-gu",37.31,127.61
Bangbae,"812-3, Bangbae-dong, Seocho-gu, Seoul, K",37.49,126.99
Shinsagae Bonjeom 6F,"52-5, Chungmuro 1-ga, Jung-gu,, 6F",37.56,126.98
Yeongdeungpo Singil DT,252-9.Singil-dong Yeongdeungpo-gu,37.5,126.91
Olympic Family APT,"150-26 Munjeongdong,Songpa-gu",37.49,127.12
Gwangjang,"427-5 Gwangjang-dong, Gwangjin-gu",37.54,127.1
Hongdae Park,"362-1, Seogyo-dong, Mapo-gu",37.55,126.92
Mokdong Jungang,Omokro,37.53,126.87
Hakdong Sageori,"93-2, Nonhyundong Gangnamgu",37.52,127.04
Hanti Station,"1024, Daechidong, Gangnam-gu",37.5,127.06
Apgujeong,"609 sinsadong, gangnamgu",37.53,127.03
Yaksu Station,"374-27, Sindang-dong, Jung-gu,",37.56,127.01
mapo yeomri,"168-9 Yeomri-dong, Mapo-gu, Garden 5 Tool Pavillion",37.54,126.95
Garden 5 E-Mart,"280 Munjung-Dong, Songpa-Gu, B1F",37.48,127.12
Sindang Station,"132, Hungindong, Junggu",37.34,127.01
Gyeongbokgung Station 3 Line,"35-41 Tongui-Dong, Jongro-Gu, 1F",37.58,126.97
Cha Hospital Intersection,"235-11, Nonhyeon-Dong, Gangnam-Gu, 1-2F",37.51,127.04
Yeoksam Seolleung,"697-45 Yeoksam 1-dong, Gangnam-gu",37.51,127.05
Cheongdam star,"89-4, Gangnam",37.53,127.04
Chungjungro-station,95-1 Chungjungro-3ga Sudaemoon-Gu,37.56,126.96
Sungbuk Jongam,Jongamro,37.6,127.03
Gangnam woosung sageori,"832-5 Yeoksam-dong,Gangnma-gu",37.49,127.03
Songpa DT,"226-10, bangi-dong, Songpa-gu, Daekyo Borame Center",37.51,127.12
Borame Daekyo,"729-22 Bongcheon-dong, Gwanak-gu",37.5,126.93
New samsung station,"168-26 Samsungdong, Gangnamgu District",37.3,127.35
Gongdeok Ogeori,22 dohwa-dong mapo-gu Seoul,37.54,126.95
Bangi Station,17-8 Oguem-dong Songpa-gu,37.51,127.13
Samcheongdong,"112, Samcheong-dong, Jongno-gu",37.59,126.98
Seogyo,"395-166, Seogyo-dong, Mapo-gu",37.55,126.92
Myeongdong Daeyeongak,25-52 Chungmuro-2ga Jung-gu Seoul,37.56,126.98
Gongduk Station,"462, Gongdukdong, Mapogu, Leema Buliding",37.55,126.95
Jongro-Susong,"146-1 Susong-Dong, Jongro-Gu",37.57,126.98
Sinwol DT,"205-49, Sinwol 3-dong, Yangcheon-gu",37.53,126.83
Gangnam Avenue,"1303-16, Seocho-dong, Seocho-gu, Gangnam District",37.31,127.13
